stock_id,name,per_latest,per_120d_high,per_120d_low,per_latest_is_prev,valuation_updated_at,valuation_status,valuation_reason,finmind_token_status,finmind_token_source,finmind_token_masked,finmind_user_count,finmind_api_request_limit,finmind_remain,finmind_usage_checked_at
3163,波若威,66.63,208.2,57.29,False,2026-09-25 14:40:45,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:40:46
3167,大量,66.55,106.3,43.08,False,2026-09-25 14:40:46,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:40:46
3178,公準,215.31,237.19,0.0,False,2026-09-25 14:40:46,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:40:47
3189,景碩,178.48,250.99,102.72,False,2026-09-25 14:40:47,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:40:47
3211,順達,51.01,55.53,33.97,False,2026-09-25 14:40:47,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:40:48
3231,緯創,14.65,19.56,13.29,False,2026-09-25 14:40:48,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:40:48
3234,光環,0.0,0.0,0.0,False,2026-09-25 14:40:48,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:40:49
3264,欣銓,32.11,39.84,21.02,False,2026-09-25 14:40:49,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:40:49
3265,台星科,25.67,33.95,21.53,False,2026-09-25 14:40:49,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:40:50
3289,宜特,30.7,43.76,26.61,False,2026-09-25 14:40:50,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:40:50
3324,雙鴻,39.44,42.99,22.35,False,2026-09-25 14:40:50,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:40:51
3363,上詮,0.0,6187.5,0.0,False,2026-09-25 14:40:51,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:40:51
3374,精材,70.49,81.32,31.36,False,2026-09-25 14:40:51,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:40:52
3376,新日興,120.0,348.53,117.79,False,2026-09-25 14:40:52,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:40:52
3443,創意,218.53,218.53,84.07,False,2026-09-25 14:40:52,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:40:53
3450,聯鈞,104.06,182.14,51.5,False,2026-09-25 14:40:53,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:40:53
3481,群創,63.53,1250.0,58.27,False,2026-09-25 14:40:53,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:40:54
3491,昇達科,123.61,240.7,97.38,False,2026-09-25 14:40:54,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:40:54
3529,力旺,108.35,171.88,72.29,False,2026-09-25 14:40:54,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:40:55
3532,台勝科,348.08,662.03,82.59,False,2026-09-25 14:40:55,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:40:55
3533,嘉澤,20.6,40.56,18.41,False,2026-09-25 14:40:55,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:40:56
3563,牧德,45.13,60.57,32.92,False,2026-09-25 14:40:56,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:40:56
3583,辛耘,42.82,65.49,36.69,False,2026-09-25 14:40:56,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:40:57
3587,閎康,36.25,60.49,27.76,False,2026-09-25 14:40:57,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:40:57
3605,宏致,48.29,48.29,15.52,False,2026-09-25 14:40:57,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:40:58
3645,達邁,28.3,74.84,24.75,False,2026-09-25 14:40:58,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:40:58
3653,健策,156.17,156.17,83.82,False,2026-09-25 14:40:58,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:40:59
3661,世芯-KY,55.29,78.78,39.28,False,2026-09-25 14:40:59,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:40:59
3665,貿聯-KY,42.97,63.66,34.43,False,2026-09-25 14:40:59,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:41:00
3680,家登,36.45,65.32,31.0,False,2026-09-25 14:41:00,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:41:00
3701,大眾控,0.0,0.0,0.0,False,2026-09-25 14:41:00,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:41:01
3702,大聯大,10.06,18.94,8.53,False,2026-09-25 14:41:01,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:41:01
3711,日月光投控,50.58,67.5,37.89,False,2026-09-25 14:41:01,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:41:02
