stock_id,name,eps_Y,eps_Y_quarters,eps_ttm,eps_yoy,roe_last_year,roe_ttm,rev,rev_mom,rev_qoq,rev_yoy,gross_margin,gross_margin_qoq,gross_margin_yoy_diff,operating_margin,operating_margin_qoq,operating_margin_yoy_diff,net_margin,net_margin_qoq,net_margin_yoy_diff,per_ttm,per_latest,per_60d_high,per_60d_low,pbr_latest,pbr_60d_high,pbr_60d_low,period_start,period_end,eps_Y_is_prev,eps_ttm_is_prev,gross_margin_is_prev,operating_margin_is_prev,net_margin_is_prev,per_latest_is_prev,pbr_latest_is_prev,static_updated_at,static_status,static_reason,eps_status,eps_reason,roe_status,roe_reason,revenue_status,revenue_reason,profit_status,profit_reason,valuation_status,valuation_reason,finmind_token_status,finmind_token_source,finmind_token_masked,finmind_user_count,finmind_api_request_limit,finmind_remain,finmind_usage_checked_at
2379,瑞昱,15.86,2,27.73,-13.51,28.06,30.34,12.46,-3.38,-0.51,28.08,47.0,-2.66,-3.23,9.92,-1.97,-2.64,10.13,-1.76,-2.12,,25.24,32.4,18.83,7.11,10.26,5.32,,,False,False,False,False,False,False,False,2026-09-10 12:14:54,ok,,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,0,6000,6000,2026-09-10 12:14:57
2382,廣達,12.93,2,22.94,28.37,32.54,41.3,423.97,15.75,36.11,177.45,5.02,0.24,-2.03,3.3,0.45,-0.75,2.78,0.15,-0.61,,14.64,20.97,14.01,5.32,7.75,5.09,,,False,False,False,False,False,False,False,2026-09-10 12:14:57,ok,,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,0,6000,6000,2026-09-10 12:15:00
2383,台光電,42.45,2,64.08,83.09,34.23,48.36,20.15,4.89,28.98,129.85,33.85,4.43,3.51,26.94,5.38,6.31,20.88,4.73,5.43,,84.05,131.89,67.47,33.02,45.44,26.5,,,False,False,False,False,False,False,False,2026-09-10 12:15:01,ok,,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,0,6000,6000,2026-09-10 12:15:04
2395,研華,9.05,2,15.83,42.1,19.74,26.5,10.42,-7.57,34.72,87.52,37.68,-1.47,-2.31,19.63,1.34,2.12,17.24,0.96,6.2,,41.74,46.55,31.77,10.35,11.17,7.17,,,False,False,False,False,False,False,False,2026-09-10 12:15:04,ok,,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,0,6000,6000,2026-09-10 12:15:07
2402,毅嘉,0.46,2,1.67,-38.38,10.47,7.72,1.11,-4.58,4.48,16.42,14.18,1.36,-5.76,5.64,2.77,-3.43,3.69,2.96,-3.69,,32.46,37.25,24.82,2.29,3.09,2.09,,,False,False,False,False,False,False,False,2026-09-10 12:15:07,ok,,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,0,6000,6000,2026-09-10 12:15:24
2404,漢唐,36.23,2,66.35,75.99,54.97,82.71,9.95,13.75,22.68,63.77,23.64,0.32,2.38,19.96,0.39,1.43,14.44,-0.78,4.61,,15.99,25.74,15.46,11.18,18.19,9.96,,,False,False,False,False,False,False,False,2026-09-10 12:15:24,ok,,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,0,6000,6000,2026-09-10 12:15:27
2408,南亞科,23.07,2,27.15,1023.47,3.94,37.26,44.69,1.88,61.51,560.85,79.49,11.6,100.05,73.68,12.34,116.44,60.8,7.71,99.77,,19.98,45.21,17.27,5.51,8.11,4.4,,,False,False,False,False,False,False,False,2026-09-10 12:15:27,ok,,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,0,6000,6000,2026-09-10 12:15:33
2409,友達,0.03,2,0.24,-69.23,4.58,1.92,23.1,13.41,-3.09,-5.86,13.05,1.2,-0.47,0.31,1.23,-1.86,2.99,4.5,0.24,,130.0,130.0,19.62,1.52,1.65,0.89,,,False,False,False,False,False,False,False,2026-09-10 12:15:34,ok,,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,0,6000,6000,2026-09-10 12:15:40
2412,中華電,2.68,2,5.1,4.29,10.51,11.34,19.88,-6.83,-2.99,3.68,37.54,-0.38,-0.84,21.61,-0.24,-0.5,18.36,0.68,-0.33,,27.41,29.13,26.44,2.95,2.95,2.6,,,False,False,False,False,False,False,False,2026-09-10 12:15:40,ok,,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,0,6000,6000,2026-09-10 12:15:44
2449,京元電子,3.91,2,7.63,-15.03,23.6,17.5,4.08,2.24,8.03,31.58,39.49,-0.25,3.95,25.38,-1.82,-0.64,22.36,-0.07,-3.65,,35.58,47.63,27.61,5.3,8.22,4.53,,,False,False,False,False,False,False,False,2026-09-10 12:15:44,ok,,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,0,6000,6000,2026-09-10 12:15:47
