stock_id,name,新聞
2881,富邦金,0729：富邦金(2881) 個股概覽 | 個股 - 股市 - CMoney；0728：2881 富邦金 - 買進國泰金95元，3張，中信金62.2元，14張，6.24賣... - 股市爆料同學會 - CMoney；0728：富邦金控啟動「邦助計畫」跑滿40公里自主選擇支持環境或弱勢議題 - UD…
2885,元大金,0729：融資維持率跌破145%，元大金 (2885) 藏什麼支撐？-梁文謙 - CMoney投資網誌；0728：元大金、台新新光金除息 但雙雙陷入貼息窘境 | 集中市場 | 證券 - 經濟日報；0728：元大金、台新新光金除息 但雙雙陷入貼息窘境 - 經濟日報；0728：正二去槓桿何時停？元大金…
2891,中信金,0728：中信金現在是整理還是反轉前兆？ - CMoney；0728：《證交所》今日單一證券鉅額成交股票：聯發科、華航、中信金(2-2) - 富聯網；0728：2891 中信金- ETF 每日持股變動摘要(2026-07-28) - 股市爆料同學會 - CMoney；0727：兩大獲利主力今年都看…
2912,統一超,0729：【11:04 即時新聞】統一超(2912)股價小幅走揚至240元，中元節普渡檔期題材升溫＋法人與主力籌碼偏多維持高檔區間 - CMoney投資網誌；0729：2912 統一超- 珍珠海岸國際音樂節8/1-8/2登場警方交管、接駁資訊一次看- 股市爆料同學會 - CMoney；0728：【…
3008,大立光,0728：《光電股》大立光再出招換股收購大陽科技瞄準全球領導地位- 證券 - 工商時報；0728：個股：大立光(3008)上半年配41.5元股息，整併大陽科技為100%子公司 - 東森電視；0728：大立光通過H1配息41.5元、換股合併大陽科技 - 台視全球資訊網；0727：蘋果眼鏡延後補隱私，…
3013,晟銘電,0729：晟銘電(3013) 個股概覽 | 個股 - 股市 - CMoney；0727：《電週邊》注意股：晟銘電 近5日跌0.47% - 富聯網；0724：3013 晟銘電- 應該解不了套了- 股市爆料同學會 - CMoney；0719：討論牆 | 盤中速報 - 晟銘電(3013)大跌7.05%，…
3017,奇鋐,"0729：討論牆 | 盤中速報 - 奇鋐(3017)急跌-3.12%報2175.0元，成交721張 - LINE TODAY；0728：【07/28券商評等報告彙整】奇鋐(3017) 今日僅1家券商發布績效評等報告，評價為看多，目標價為3,835元。 - CMoney；0727：AI主流趨勢沒變！…"
3023,信邦,0727：討論牆 | 盤中速報 - 信邦(3023)急跌-3.11%報296.5元，成交190張 - LINE TODAY；0726：Factset 最新調查：信邦(3023-TW)EPS預估下修至14.8元，預估目標價為370元｜新聞快訊｜豐雲學堂 - sinotrade.com.tw；0725…
3026,禾伸堂,0729：《電零組》注意股：禾伸堂 近5日跌22.73% - 富聯網；0729：討論牆 | 盤中速報 - 禾伸堂(3026)大跌7.34%，報593元 - LINE TODAY；0729：被動元件腰斬不夠？禾伸堂剩4字頭、國巨逼近500元 網苦笑「請問是1拆2分割嗎」 - Yahoo股市；0729…
3035,智原,0729：《半導體》智原Q2獲利報喜 外資多空激辯、目標價竟差100元 - 富聯網；0729：《半導體》智原Q2獲利報喜 外資多空激辯、目標價竟差100元 - 旺得富理財網；0729：智原攜聯電/Intel，盼明年下半年攻12奈米- 新聞 - MoneyDJ；0729：【0729法人焦點】市場最新…
3037,欣興,0729：《個股重大訊息》個股動態：旺宏、精測、欣興 - 富聯網；0729：焦點股》欣興：財報亮眼沒用 急殺逼近跌停 - 自由時報；0729：【26Q2財報公告】欣興(3037) Q2 營收428.8982億元，創歷史新高，季增14.54%、年成長32.11% - CMoney；0729：掰掰4萬…
3042,晶技,0728：3042 晶技 - ⭐️根據新聞報導：台灣新冠疫情持續升溫，本月7月6人死亡，2... - 股市爆料同學會 - CMoney；0728：晶技5G及車用應用出貨佳 估7月營收將站上13億元創58個月來新高 - 鉅亨網；0726：討論牆 | 盤中速報 - 晶技(3042)急拉3.12%報16…
3044,健鼎,0729：健鼎(3044) 個股概覽 | 個股 - 股市 - CMoney；0723：3044 健鼎 - 築底為首務，暫無力強攻- 股市爆料同學會 - CMoney；0722：健鼎、金像電營運動能強- 日報 - 工商時報；0722：健鼎、金像電 營運動能強 - 中時新聞網；0720：3044 健鼎…
3081,聯亞,0729：《通網股》注意股：聯亞 近5日漲12.87% - 富聯網；0729：外資觀點：聯亞800G/1.6T矽光子放量，美系外資看好Q3營收月月增，重申買進 - 富聯網；0729：討論牆 | 盤中速報 - 聯亞(3081)大漲7.1%，報1885元 - LINE TODAY；0729：《通網股》…
3090,日電貿,0729：一山不容二虎？大聯大出清持股日電貿成棄嬰慘跌停- 證券 - 工商時報；0729：3090 日電貿- 【07/29 產業即時新聞】電容族群急殺，市場觀望氣氛濃厚觸發修正- 股市爆料同學會 - CMoney；0729：一山不容二虎？大聯大出清持股 日電貿慘摔跌停 - 中時新聞網；0729：討…
3105,穩懋,0729：《半導體》注意股：穩懋 近5日跌4.86% - 富聯網；0728：穩懋光通訊占比續升，今、明年獲利看增- 新聞 - MoneyDJ；0728：穩懋法說會｜太空經濟與AI光通訊催快車，第2季獲利達2.31元，毛利率顯著回升 - 優分析UAnalyze；0728：穩懋法說會｜太空經濟與AI光…
